	emotion	trackID	timestamp0	before_music_start	after_music_start	before_noise_start	after_noise_start	music_duration	theo_music_onset	true_music_onset	diff_onset	true_noise_onset
0	Peacefulness	674PCjNIlNaiQACRumz7Ha	1689864064.1447122	1689864076.1464581	1689864076.380642	1689864100.1472232	1689864100.5674124	24.18677043914795	12	12.235929727554321	0.2359297275543213	36.42270016670227
1	Peacefulness	1cmigB9I6IRpFqjIbzvSQB	1689864064.1447122	1689864106.1483061	1689864106.3743389	1689864130.1487799	1689864130.379439	24.00510025024414	42	42.22962665557861	0.22962665557861328	66.23472690582275
2	Nostalgia	2kRFrWaLWiKq48YYVdGcm8	1689864064.1447122	1689864148.1502602	1689864148.3825963	1689864172.1522202	1689864172.3969276	24.014331340789795	84	84.23788404464722	0.2378840446472168	108.25221538543701
3	Nostalgia	2KK87N80r99YquD4rfonFk	1689864064.1447122	1689864178.152542	1689864178.4089758	1689864202.154089	1689864202.4575338	24.048557996749878	114	114.26426362991333	0.2642636299133301	138.3128216266632
4	Joyful activation	6m5NwZvZ8qeNVPeF4sSN3A	1689864064.1447122	1689864220.1544995	1689864220.3867872	1689864244.1545715	1689864244.5131326	24.12634539604187	156	156.24207496643066	0.24207496643066406	180.36842036247253
5	Joyful activation	5FiB1uNoGZE4PenzZd7Imu	1689864064.1447122	1689864250.156378	1689864250.41068	1689864274.1582658	1689864274.3881104	23.97743034362793	186	186.26596784591675	0.26596784591674805	210.24339818954468
6	Sadness	5gJvJ18ZCVdiLXfczZaKgL	1689864064.1447122	1689864292.1597126	1689864292.3877	1689864316.1602347	1689864316.4593	24.07159996032715	228	228.24298787117004	0.24298787117004395	252.3145878314972
7	Sadness	1kgdslQYmeTR4thk9whoRw	1689864064.1447122	1689864322.1606593	1689864322.3806348	1689864346.1615205	1689864346.417307	24.036672115325928	258	258.23592257499695	0.23592257499694824	282.2725946903229
8	Tension	2OWzoQiL6VDTczQwBxmWVx	1689864064.1447122	1689864364.163134	1689864364.398723	1689864388.1634974	1689864388.4594324	24.060709476470947	300	300.25401067733765	0.2540106773376465	324.3147201538086
9	Tension	1Lfe3Hd43xUMVrGwHqfZ3l	1689864064.1447122	1689864394.1653082	1689864394.4932344	1689864418.1661687	1689864418.4933717	24.000137329101562	330	330.3485221862793	0.3485221862792969	354.34865951538086
10	Tenderness	0YJ9FWWHn9EfnN0lHwbzvV	1689864064.1447122	1689864436.1670706	1689864436.40608	1689864460.1681418	1689864460.3514864	23.945406436920166	372	372.26136779785156	0.2613677978515625	396.20677423477173
11	Tenderness	23khhseCLQqVMCIT1WMAns	1689864064.1447122	1689864466.1683586	1689864466.4035137	1689864490.170111	1689864490.5525773	24.14906358718872	402	402.2588014602661	0.2588014602661133	426.40786504745483
12	Transcendence	4T2PrxnP1BnBe5Kwilx0ul	1689864064.1447122	1689864508.170563	1689864508.4062004	1689864532.1713324	1689864532.407771	24.00157070159912	444	444.261488199234	0.2614881992340088	468.26305890083313
13	Transcendence	7yWT9m9UEI06Be9nb7M5LB	1689864064.1447122	1689864538.1722624	1689864538.521231	1689864562.1724522	1689864562.494327	23.973096132278442	474	474.3765187263489	0.37651872634887695	498.3496148586273
14	Power	717oSBYrcR8awQgUsmyE32	1689864064.1447122	1689864580.1725948	1689864580.4889119	1689864604.173268	1689864604.3851357	23.896223783493042	516	516.3441996574402	0.34419965744018555	540.2404234409332
15	Power	0snQkGI5qnAmohLE7jTsTn	1689864064.1447122	1689864610.174518	1689864610.4082844	1689864634.1749358	1689864634.4069808	23.998696327209473	546	546.2635722160339	0.26357221603393555	570.2622685432434
16	Wonder	5GbVzc6Ex5LYlLJqzRQhuy	1689864064.1447122	1689864652.1762228	1689864652.4148004	1689864676.176708	1689864676.4077692	23.992968797683716	588	588.2700881958008	0.27008819580078125	612.2630569934845
17	Wonder	17i5jLpzndlQhbS4SrTd0B	1689864064.1447122	1689864682.178197	1689864682.4099934	1689864706.1784573	1689864706.3996322	23.989638805389404	618	618.2652812004089	0.26528120040893555	642.2549200057983
