Emotion	Name	Artist
Joyful activation	Don't Stop Me Now - Remastered 2011	Queen
Joyful activation	Steal My Kisses	Ben Harper And The Innocent Criminals
Joyful activation	Never Gonna Give You Up	Rick Astley
Joyful activation	Gisela	Bárbara Tinoco
Joyful activation	Virtual Insanity	Various Artists
Joyful activation	Chicago	Sufjan Stevens
Joyful activation	Deixa pra Lá	Bossacucanova
Joyful activation	All I Ever Wanted	Hard Lights
Joyful activation	Beijo de Funana	Némanus
Joyful activation	Tô Voltando	Simone
Joyful activation	Proud Mary	Tina Turner
Joyful activation	Burra	Karetus
Joyful activation	Monsters, Inc.	Randy Newman
Joyful activation	Wake Me Up Before You Go-Go	Wham!
Joyful activation	I'm Gonna Be (500 Miles)	The Proclaimers
Joyful activation	Anda estragar-me os planos	Salvador Sobral
Joyful activation	One More Time - Otra Vez	SUPER JUNIOR
Joyful activation	Shut Up and Dance	WALK THE MOON
Joyful activation	Da Coconut Nut - The Coconut Song	The San Miguel Master Chorale
Joyful activation	DANCE DANCE	DAY6
Joyful activation	All My Friends	LCD Soundsystem
Joyful activation	Dancing With Myself	Billy Idol
Joyful activation	Dancing in the Moonlight	Toploader
Joyful activation	Mambeado	Onda Vaga
Joyful activation	Hey Ya!	Outkast
Joyful activation	Tank!	SEATBELTS
Joyful activation	stupid horse	100 gecs
Joyful activation	Bonito	Jarabe De Palo
Joyful activation	She's so High	Tal Bachman
Joyful activation	I AM	IVE
Joyful activation	Another Day Of Sun	Justin Hurwitz
Joyful activation	SAVE The World	Toby Fox
Joyful activation	Feel It Still	Portugal. The Man
Joyful activation	Imagine	브런치
Joyful activation	Balalaikas	Anaquim
Joyful activation	What You Know	Two Door Cinema Club
Joyful activation	Human	The Killers
Joyful activation	La Vida Tombola	Manu Chao
Joyful activation	Use It	The New Pornographers
Nostalgia	"Swan Lake Suite, Op. 20a: I. Scene ""Swan Theme"". Moderato"	Pyotr Ilyich Tchaikovsky
Nostalgia	Zorro	António Zambujo
Nostalgia	Kidult	SEVENTEEN
Nostalgia	Rocket Man (I Think It's Going To Be A Long, Long Time)	Elton John
Nostalgia	Eram os Teus Olhos	Martim Vicente
Nostalgia	Everything In Its Right Place	Radiohead
Nostalgia	Dance of the Sugar Plum Fairy	Lior Rosner
Nostalgia	By This River - 2004 Digital Remaster	Brian Eno
Nostalgia	Sunday Candy	Nico Segal
Nostalgia	Tanto Mar	Chico Buarque
Nostalgia	Cold	Jorge Méndez
