"ParticipantID","Tempo","Tenso","Irritado","Imprestável","Esgotado","Animado","Confuso","Triste","Activo","Mal-humorado","Enérgico","Sem valor","Inquieto","Fatigado","Aborrecido","Desencorajado","Nervoso","Só","Baralhado","Exausto","Ansioso","Deprimido","Sem energia","Miserável","Desnorteado","Furioso","Eficaz","Cheio de vida","Com mau feitio","Tranquilo","Desanimado","Impaciente","Cheio de boa disposição","Inútil","Estourado","Competente","Culpado","Enervado","Infeliz","Alegre","Inseguro","Cansado","Apático"
"01","Antes","2","1","1","3","3","1","3","2","1","3","1","2","3","3","3","1","1","1","3","1","3","2","1","1","1","3","3","1","3","3","2","3","1","3","3","2","1","2","3","2","3","3"
"01","Depois","2","1","1","3","2","1","2","2","1","2","1","2","3","2","3","1","1","1","3","1","2","3","1","1","1","2","2","1","3","3","1","3","1","3","3","2","1","1","3","2","3","3"
"03","Antes","3","1","2","3","3","3","1","4","1","3","1","5","4","1","2","5","2","4","4","5","3","2","1","4","1","2","4","1","2","2","2","3","2","3","2","2","2","1","4","5","5","1"
"05","Antes","2","2","1","1","4","1","2","3","1","4","2","1","2","1","1","2","1","1","1","2","1","1","1","1","1","4","4","1","3","1","1","4","1","1","4","1","1","1","4","2","1","1"
"05","Depois","3","3","1","2","3","1","1","3","2","3","1","1","3","2","1","1","1","1","2","2","1","3","1","2","1","3","2","2","3","2","2","3","1","2","4","1","2","1","","1","3","3"
"06","Antes","2","1","1","2","4","2","2","3","1","3","2","3","2","2","2","2","1","2","2","2","1","2","1","2","1","3","3","1","4","2","3","3","1","2","3","1","2","1","4","2","3","1"
"06","Depois","2","1","1","2","3","2","2","3","1","3","1","2","2","1","1","2","1","2","2","2","1","2","1","1","1","3","3","1","4","2","3","4","1","2","4","1","2","1","4","2","2","2"
"07","Antes","3","1","2","2","3","1","1","3","1","3","2","3","2","1","1","1","1","1","2","1","1","2","1","2","1","2","3","1","3","2","2","4","1","1","3","2","1","1","3","2","2","1"
"07","Depois","1","1","1","1","3","1","1","2","1","2","1","1","2","1","1","1","1","1","2","1","1","3","1","1","1","3","3","1","4","1","1","3","1","1","3","1","1","1","3","1","2","1"
"08","Antes","3","2","1","2","3","1","2","4","2","4","1","4","2","1","2","2","1","1","3","3","1","2","1","1","2","3","3","2","3","2","3","3","1","2","3","2","3","1","4","3","2","2"
