Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),AAL3
1,53.5,1.5,-4.5,18.449055636263953,24560,Temporal_Sup_R
2,-52.5,-14.5,5.5,17.823405091328407,23168,Temporal_Sup_L
3,29.5,-60.5,-24.5,14.406895949949073,8824,Cerebellum_6_R
4,-32.5,-62.5,-22.5,13.27295888077948,4688,Cerebellum_6_L
5,55.5,-2.5,45.5,12.047703723117452,3392,Precentral_R
6,-0.5,1.5,67.5,11.49258629233919,6088,Supp_Motor_Area_L
7,-54.5,-6.5,47.5,11.368052731751078,2896,Postcentral_L
8,-24.5,-64.5,-52.5,9.760103551202068,2528,Cerebellum_8_L
9,17.5,-68.5,-52.5,8.537749077798333,3232,Cerebellum_8_R
10,-18.5,-26.5,-6.5,8.326225494306943,192,Thal_MGN_L
11,-14.5,-78.5,-44.5,8.206118379469203,872,Cerebellum_7b_L
12,23.5,3.5,5.5,7.842704895693777,584,Putamen_R
13,-26.5,29.5,-14.5,7.383718782717597,512,OFCpost_L
14,-24.5,1.5,7.5,7.248365310784027,144,Putamen_L
15,53.5,35.5,3.5,7.238915127764499,1512,Frontal_Inf_Tri_R
16,33.5,-68.5,-42.5,7.030553109147042,1304,Cerebellum_Crus2_R
17,-6.5,-64.5,-18.5,6.583499389795533,160,Cerebellum_6_L
18,-46.5,47.5,-4.5,6.508392523479492,5352,Frontal_Mid_2_L
19,-18.5,-68.5,-24.5,6.3842909745033944,224,Cerebellum_6_L
20,-42.5,31.5,-2.5,6.3085356474694185,672,Frontal_Inf_Tri_L
21,15.5,-26.5,-6.5,6.207617616307713,160,Thal_MGN_R
22,-40.5,45.5,-16.5,6.058188164263217,488,OFClat_L
23,-4.5,29.5,43.5,5.806245180798758,872,Frontal_Sup_Medial_L
24,17.5,-12.5,-14.5,5.73877562676348,88,Hippocampus_R
25,17.5,7.5,15.5,5.326810165626278,160,Caudate_R
26,-2.5,51.5,-16.5,5.273703537442217,376,Rectus_L
27,-24.5,-4.5,11.5,5.2466978464069385,88,Putamen_L
28,17.5,-38.5,-44.5,5.24382942061089,120,Cerebellum_10_R
29,35.5,5.5,3.5,5.00428571086877,192,Insula_R
30,-2.5,-50.5,-34.5,4.983560829885551,128,Cerebellum_9_L
31,-4.5,59.5,25.5,4.978023295626791,512,Frontal_Sup_Medial_L
32,-60.5,3.5,21.5,4.7798969486421505,512,Precentral_L
33,-24.5,-8.5,53.5,4.608275897704895,416,Frontal_Sup_2_L
34,-22.5,35.5,49.5,4.361986550088094,376,Frontal_Sup_2_L
35,-38.5,33.5,-14.5,4.278704627352417,176,OFClat_L
36,-48.5,-42.5,11.5,4.232492237406502,184,Temporal_Sup_L
37,51.5,25.5,21.5,3.9473278672344874,400,Frontal_Inf_Tri_R
38,33.5,35.5,-14.5,3.8435712414468606,240,OFCant_R
39,-62.5,7.5,7.5,3.691690642741649,96,Frontal_Inf_Oper_L
40,-18.5,41.5,49.5,2.9575929465423396,144,Frontal_Sup_2_L
41,-46.5,-50.5,55.5,2.842319360757835,96,Parietal_Inf_L
42,47.5,-8.5,17.5,2.711954476206947,128,Rolandic_Oper_R
43,37.5,9.5,25.5,2.0906564647763846,80,Frontal_Inf_Oper_R
