cluster_id,peak_x,peak_y,peak_z,cluster_mean,volume_mm,aal,destrieux,harvard_oxford,juelich,talairach_ba
1.0,-56.5,-20.5,5.5,2.0,24456.0,48.38% Temporal_Sup_L; 9.85% no_label; 8.96% Temporal_Mid_L; 8.80% Temporal_Pole_Sup_L; 8.54% Rolandic_Oper_L; 6.64% SupraMarginal_L; 5.46% Heschl_L; 1.83% Insula_L; 1.18% Postcentral_L; 0.26% Frontal_Inf_Oper_L; 0.10% Frontal_Inf_Tri_L,43.77% Unknown; 15.60% ctx_lh_G_temp_sup-Lateral; 13.51% Left-Cerebral-White-Matter; 6.18% ctx_lh_G_temp_sup-Plan_tempo; 3.47% ctx_lh_G_temp_sup-G_T_transv; 3.34% ctx_lh_Lat_Fis-post; 3.24% ctx_lh_S_temporal_transverse; 3.21% ctx_lh_S_circular_insula_inf; 2.26% ctx_lh_G_pariet_inf-Supramar; 1.86% ctx_lh_G_temp_sup-Plan_polar; 1.80% ctx_lh_G_and_S_subcentral; 0.72% ctx_lh_G_front_inf-Opercular; 0.49% ctx_lh_S_temporal_sup; 0.49% ctx_lh_G_temporal_middle; 0.07% ctx_lh_G_Ins_lg_and_S_cent_ins,18.12% Left_Planum_Temporale; 15.15% Left_Superior_Temporal_Gyrus_posterior_division; 10.40% Left_Planum_Polare; 10.11% Left_Central_Opercular_Cortex; 9.75% Left_Heschl's_Gyrus_(includes_H1_and_H2); 9.19% Left_Temporal_Pole; 9.09% Left_Parietal_Operculum_Cortex; 6.74% Left_Supramarginal_Gyrus_posterior_division; 5.89% Left_Superior_Temporal_Gyrus_anterior_division; 1.18% Left_Postcentral_Gyrus; 1.11% Left_Inferior_Frontal_Gyrus_pars_opercularis; 0.98% Left_Middle_Temporal_Gyrus_posterior_division; 0.75% Left_Supramarginal_Gyrus_anterior_division; 0.75% Left_Insular_Cortex; 0.65% Left_Precentral_Gyrus; 0.13% Left_Frontal_Operculum_Cortex,24.50% no_label; 13.67% GM_Secondary_somatosensory_cortex_/_Parietal_operculum_OP1_L; 10.89% GM_Inferior_parietal_lobule_PF_L; 9.58% GM_Inferior_parietal_lobule_PFcm_L; 8.70% GM_Primary_auditory_cortex_TE1.2_L; 7.98% GM_Primary_auditory_cortex_TE1.0_L; 7.69% GM_Secondary_somatosensory_cortex_/_Parietal_operculum_OP4_L; 5.20% GM_Primary_auditory_cortex_TE1.1_L; 3.86% GM_Broca's_area_BA44_L; 3.01% WM_Acoustic_radiation_L; 1.73% GM_Insula_Id1_L; 0.72% GM_Inferior_parietal_lobule_PFm_L; 0.65% GM_Primary_somatosensory_cortex_BA1_L; 0.65% GM_Broca's_area_BA45_L; 0.36% GM_Insula_Ig2_L; 0.33% GM_Inferior_parietal_lobule_Pga_L; 0.33% GM_Inferior_parietal_lobule_PFop_L; 0.07% WM_Corticospinal_tract_L; 0.07% WM_Inferior_occipito-frontal_fascicle_L,58.23% Background; 15.01% Brodmann_area_22; 5.95% Brodmann_area_41; 5.30% Brodmann_area_42; 5.14% Brodmann_area_13; 3.57% Brodmann_area_40; 2.91% Brodmann_area_21; 2.91% Brodmann_area_38; 0.46% Brodmann_area_43; 0.46% Brodmann_area_6; 0.07% Brodmann_area_47
2.0,55.5,-14.5,1.5,1.0,22864.0,56.47% Temporal_Sup_R; 14.03% Temporal_Pole_Sup_R; 8.29% Rolandic_Oper_R; 7.24% Heschl_R; 5.11% Insula_R; 3.74% Temporal_Mid_R; 2.90% no_label; 1.43% SupraMarginal_R; 0.28% Postcentral_R; 0.21% Frontal_Inf_Oper_R; 0.17% Frontal_Inf_Orb_2_R; 0.10% OFCpost_R,43.32% Unknown; 17.53% ctx_rh_G_temp_sup-Lateral; 12.91% Right-Cerebral-White-Matter; 5.00% ctx_rh_G_temp_sup-Plan_tempo; 4.44% ctx_rh_G_temp_sup-G_T_transv; 3.92% ctx_rh_S_temporal_sup; 3.01% ctx_rh_S_circular_insula_inf; 2.76% ctx_rh_G_temp_sup-Plan_polar; 2.24% ctx_rh_S_temporal_transverse; 1.68% ctx_rh_G_pariet_inf-Supramar; 1.19% ctx_rh_G_front_inf-Opercular; 1.08% ctx_rh_G_and_S_subcentral; 0.77% ctx_rh_Lat_Fis-post; 0.10% ctx_rh_G_temporal_middle; 0.03% ctx_rh_G_pariet_inf-Angular,24.11% Right_Superior_Temporal_Gyrus_posterior_division; 13.65% Right_Planum_Temporale; 12.25% Right_Temporal_Pole; 10.88% Right_Planum_Polare; 10.15% Right_Heschl's_Gyrus_(includes_H1_and_H2); 7.98% Right_Central_Opercular_Cortex; 6.51% Right_Superior_Temporal_Gyrus_anterior_division; 5.60% Right_Supramarginal_Gyrus_posterior_division; 2.69% Right_Parietal_Operculum_Cortex; 2.55% Right_Middle_Temporal_Gyrus_posterior_division; 1.40% Right_Middle_Temporal_Gyrus_temporooccipital_part; 0.63% Right_Insular_Cortex; 0.59% Right_Postcentral_Gyrus; 0.38% Right_Precentral_Gyrus; 0.35% Right_Supramarginal_Gyrus_anterior_division; 0.17% Right_Inferior_Frontal_Gyrus_pars_opercularis; 0.10% Right_Frontal_Operculum_Cortex,37.54% no_label; 12.00% GM_Primary_auditory_cortex_TE1.0_R; 9.94% GM_Inferior_parietal_lobule_PF_R; 7.63% GM_Primary_auditory_cortex_TE1.2_R; 6.79% GM_Secondary_somatosensory_cortex_/_Parietal_operculum_OP1_R; 4.72% GM_Primary_auditory_cortex_TE1.1_R; 4.41% WM_Acoustic_radiation_R; 3.99% GM_Secondary_somatosensory_cortex_/_Parietal_operculum_OP4_R; 3.04% GM_Inferior_parietal_lobule_PFcm_R; 2.59% GM_Insula_Id1_R; 2.27% GM_Broca's_area_BA44_R; 0.98% GM_Insula_Ig2_R; 0.98% GM_Inferior_parietal_lobule_Pga_R; 0.56% GM_Inferior_parietal_lobule_PFop_R; 0.49% GM_Broca's_area_BA45_R; 0.49% GM_Inferior_parietal_lobule_PFt_R; 0.38% GM_Inferior_parietal_lobule_PFm_R; 0.35% GM_Secondary_somatosensory_cortex_/_Parietal_operculum_OP3_R; 0.21% WM_Optic_radiation_R; 0.21% WM_Inferior_occipito-frontal_fascicle_R; 0.21% WM_Uncinate_fascicle_R; 0.14% GM_Secondary_somatosensory_cortex_/_Parietal_operculum_OP2_R; 0.07% GM_Insula_Ig1_R,60.08% Background; 13.89% Brodmann_area_22; 5.56% Brodmann_area_42; 4.76% Brodmann_area_21; 4.72% Brodmann_area_38; 3.88% Brodmann_area_13; 3.74% Brodmann_area_41; 2.38% Brodmann_area_40; 0.52% Brodmann_area_6; 0.28% Brodmann_area_43; 0.17% Brodmann_area_47
3.0,17.5,-72.5,-26.5,3.0,12848.0,52.55% Cerebelum_6_R; 17.06% Cerebelum_Crus1_R; 16.44% Cerebelum_Crus2_R; 4.86% Vermis_6; 2.68% Cerebelum_4_5_R; 1.62% Lingual_R; 1.18% Vermis_7; 1.12% Vermis_4_5; 1.00% Fusiform_R; 0.75% no_label; 0.62% Cerebelum_7b_R; 0.06% Cerebelum_8_R; 0.06% Cerebelum_Crus2_L,76.09% Right-Cerebellum-Cortex; 19.18% Unknown; 4.42% Right-Cerebellum-White-Matter; 0.31% ctx_rh_G_oc-temp_med-Lingual,48.63% no_label; 25.09% Right_Occipital_Fusiform_Gyrus; 17.12% Right_Lingual_Gyrus; 5.29% Right_Temporal_Occipital_Fusiform_Cortex; 3.36% Right_Lateral_Occipital_Cortex_inferior_division; 0.44% Right_Occipital_Pole; 0.06% Right_Temporal_Fusiform_Cortex_posterior_division,98.57% no_label; 1.31% GM_Visual_cortex_V4_R; 0.12% GM_Visual_cortex_V2_BA18_R,99.00% Background; 1.00% Dentate
4.0,-26.5,-64.5,-22.5,4.0,5848.0,85.23% Cerebelum_6_L; 8.21% Cerebelum_Crus1_L; 4.10% Cerebelum_4_5_L; 1.78% Fusiform_L; 0.68% Lingual_L,79.07% Left-Cerebellum-Cortex; 16.83% Unknown; 3.83% Left-Cerebellum-White-Matter; 0.27% ctx_lh_G_oc-temp_med-Lingual,44.32% no_label; 19.97% Left_Temporal_Occipital_Fusiform_Cortex; 17.92% Left_Lingual_Gyrus; 17.10% Left_Occipital_Fusiform_Gyrus; 0.41% Left_Temporal_Fusiform_Cortex_posterior_division; 0.27% Left_Inferior_Temporal_Gyrus_temporooccipital_part,98.08% no_label; 1.78% GM_Visual_cortex_V4_L; 0.14% GM_Visual_cortex_V3V_L,97.40% Background; 2.60% Dentate
5.0,27.5,-70.5,-48.5,10.0,4648.0,56.97% Cerebelum_8_R; 24.78% Cerebelum_Crus2_R; 13.43% Cerebelum_Crus1_R; 2.93% Cerebelum_7b_R; 1.89% no_label,88.64% Right-Cerebellum-Cortex; 6.20% Right-Cerebellum-White-Matter; 5.16% Unknown,100.00% no_label,100.00% no_label,100.00% Background
6.0,-0.5,-2.5,67.5,6.0,4592.0,50.00% Supp_Motor_Area_R; 46.86% Supp_Motor_Area_L; 2.44% no_label; 0.52% Frontal_Sup_2_R; 0.17% Frontal_Sup_2_L,39.72% Unknown; 22.13% ctx_lh_G_front_sup; 20.21% ctx_rh_G_front_sup; 10.10% Right-Cerebral-White-Matter; 7.67% Left-Cerebral-White-Matter; 0.17% ctx_lh_S_precentral-sup-part,35.54% Left_Juxtapositional_Lobule_Cortex_(formerly_Supplementary_Motor_Cortex); 33.97% Right_Juxtapositional_Lobule_Cortex_(formerly_Supplementary_Motor_Cortex); 18.99% Right_Superior_Frontal_Gyrus; 11.50% Left_Superior_Frontal_Gyrus,48.95% GM_Premotor_cortex_BA6_R; 46.86% GM_Premotor_cortex_BA6_L; 4.18% no_label,80.84% Background; 19.16% Brodmann_area_6
7.0,-48.5,33.5,11.5,13.0,3512.0,64.46% Frontal_Inf_Tri_L; 19.36% Frontal_Mid_2_L; 6.61% Frontal_Inf_Oper_L; 5.69% no_label; 2.05% Frontal_Inf_Orb_2_L; 1.82% Precentral_L,51.25% Unknown; 19.59% ctx_lh_G_front_inf-Triangul; 12.53% Left-Cerebral-White-Matter; 7.29% ctx_lh_G_front_inf-Opercular; 2.73% ctx_lh_S_front_inf; 2.05% ctx_lh_S_precentral-inf-part; 1.82% ctx_lh_G_front_middle; 1.37% ctx_lh_S_orbital_lateral; 1.37% ctx_lh_G_orbital,53.08% Left_Frontal_Pole; 23.23% Left_Middle_Frontal_Gyrus; 12.07% Left_Inferior_Frontal_Gyrus_pars_triangularis; 8.20% Left_Inferior_Frontal_Gyrus_pars_opercularis; 3.42% Left_Precentral_Gyrus,66.29% GM_Broca's_area_BA45_L; 17.77% GM_Broca's_area_BA44_L; 15.95% no_label,61.05% Background; 21.64% Brodmann_area_46; 8.66% Brodmann_area_10; 5.92% Brodmann_area_9; 2.73% Brodmann_area_47
8.0,51.5,-0.5,47.5,5.0,2240.0,70.00% Precentral_R; 24.64% Frontal_Mid_2_R; 5.36% no_label,52.50% Unknown; 34.29% ctx_rh_G_precentral; 11.43% Right-Cerebral-White-Matter; 1.79% ctx_rh_G_front_middle,87.50% Right_Precentral_Gyrus; 10.36% Right_Middle_Frontal_Gyrus; 2.14% Right_Postcentral_Gyrus,85.00% GM_Premotor_cortex_BA6_R; 7.50% GM_Primary_motor_cortex_BA4a_R; 6.43% no_label; 1.07% GM_Broca's_area_BA44_R,75.00% Background; 20.71% Brodmann_area_6; 3.57% Brodmann_area_4; 0.71% Brodmann_area_8
9.0,-54.5,-6.5,47.5,7.0,2040.0,40.39% Postcentral_L; 34.90% Precentral_L; 24.71% no_label,50.98% Unknown; 31.37% ctx_lh_G_precentral; 14.12% Left-Cerebral-White-Matter; 3.53% ctx_lh_G_postcentral,89.02% Left_Precentral_Gyrus; 9.41% Left_Postcentral_Gyrus; 0.78% Left_Middle_Frontal_Gyrus; 0.78% no_label,42.75% GM_Premotor_cortex_BA6_L; 31.76% no_label; 21.18% GM_Primary_somatosensory_cortex_BA1_L; 3.53% GM_Primary_motor_cortex_BA4a_L; 0.78% GM_Primary_somatosensory_cortex_BA3b_L,65.49% Background; 14.12% Brodmann_area_6; 10.59% Brodmann_area_3; 9.80% Brodmann_area_4
10.0,-28.5,-62.5,-54.5,8.0,1856.0,86.64% Cerebelum_8_L; 13.36% no_label,93.10% Left-Cerebellum-Cortex; 4.74% Unknown; 2.16% Left-Cerebellum-White-Matter,100.00% no_label,100.00% no_label,100.00% Background
