cluster_id,peak_x,peak_y,peak_z,peak_value,volume_mm,aal,destrieux,harvard_oxford,juelich,talairach_ba
1.0,-54.5,-18.5,3.5,0.030844535678625107,26672.0,Temporal_Sup_L,ctx_lh_S_temporal_transverse,35.0% Left_Planum_Temporale; 26.0% Left_Heschl's_Gyrus_(includes_H1_and_H2),0% no_label,Background
2.0,57.5,-10.5,3.5,0.043984122574329376,20048.0,Temporal_Sup_R,ctx_rh_G_temp_sup-G_T_transv,35.0% Right_Planum_Temporale,33.0% GM_Primary_auditory_cortex_TE1.0_R,Background
3.0,-0.5,-2.5,57.5,0.011033833958208561,3512.0,Supp_Motor_Area_L,Unknown,46.0% Left_Juxtapositional_Lobule_Cortex_(formerly_Supplementary_Motor_Cortex),77.0% GM_Premotor_cortex_BA6_L,Background
4.0,49.5,-0.5,53.5,0.018914587795734406,3472.0,Frontal_Mid_2_R,Unknown,51.0% Right_Precentral_Gyrus,56.0% GM_Premotor_cortex_BA6_R,Background
5.0,-56.5,-8.5,49.5,0.024067671969532967,3368.0,no_label,Unknown,29.0% Left_Precentral_Gyrus,0% no_label,Background
6.0,39.5,61.5,-8.5,0.00849679671227932,968.0,no_label,Unknown,48.0% Right_Frontal_Pole,0% no_label,Background
7.0,-68.5,-40.5,-6.5,0.007334468420594931,664.0,Temporal_Mid_L,ctx_lh_G_temporal_middle,58.0% Left_Middle_Temporal_Gyrus_posterior_division,0% no_label,Background
8.0,45.5,-64.5,47.5,0.008547095581889153,560.0,Angular_R,ctx_rh_G_pariet_inf-Angular,73.0% Right_Lateral_Occipital_Cortex_superior_division,58.0% GM_Inferior_parietal_lobule_Pga_R; 50.0% GM_Inferior_parietal_lobule_PGp_R,Background
9.0,-54.5,13.5,23.5,0.00957211572676897,472.0,Frontal_Inf_Oper_L,Unknown,65.0% Left_Inferior_Frontal_Gyrus_pars_opercularis,54.0% GM_Broca's_area_BA44_L; 30.0% GM_Broca's_area_BA45_L,Background
10.0,33.5,-66.5,47.5,0.009366041049361229,416.0,Angular_R,Right-Cerebral-White-Matter,66.0% Right_Lateral_Occipital_Cortex_superior_division,0% no_label,Brodmann_area_7
11.0,-62.5,-60.5,-6.5,0.008298678323626518,384.0,Temporal_Inf_L,Unknown,38.0% Left_Middle_Temporal_Gyrus_temporooccipital_part,0% no_label,Background
