cluster_id,peak_x,peak_y,peak_z,cluster_mean,volume_mm,aal,destrieux,harvard_oxford,juelich,talairach_ba
1.0,-58.5,-16.5,3.5,0.009015382467393087,25760.0,39.19% Temporal_Sup_L,48.63% Unknown,,32.89% no_label,57.33% Background
2.0,57.5,-10.5,3.5,0.00991590227531947,19568.0,59.36% Temporal_Sup_R,44.77% Unknown,,37.37% no_label,56.91% Background
3.0,57.5,-2.5,41.5,0.007869309486910395,3512.0,69.25% Precentral_R; 26.65% Frontal_Mid_2_R,39.41% Unknown; 31.66% ctx_rh_G_precentral,78.36% Right_Precentral_Gyrus,70.16% GM_Premotor_cortex_BA6_R,65.15% Background; 26.88% Brodmann_area_6
4.0,-10.5,-6.5,65.5,0.006930200799823352,3504.0,64.61% Supp_Motor_Area_L; 34.02% Supp_Motor_Area_R,36.76% Unknown; 34.25% ctx_lh_G_front_sup,50.68% Left_Juxtapositional_Lobule_Cortex_(formerly_Supplementary_Motor_Cortex); 26.03% Right_Juxtapositional_Lobule_Cortex_(formerly_Supplementary_Motor_Cortex),65.53% GM_Premotor_cortex_BA6_L; 32.19% GM_Premotor_cortex_BA6_R,66.89% Background; 33.11% Brodmann_area_6
5.0,-56.5,-8.5,49.5,0.009377501065678456,3400.0,54.12% Postcentral_L,48.94% Unknown; 25.41% ctx_lh_G_precentral,69.88% Left_Precentral_Gyrus; 26.82% Left_Postcentral_Gyrus,29.65% no_label; 28.71% GM_Primary_somatosensory_cortex_BA1_L; 27.76% GM_Premotor_cortex_BA6_L,61.65% Background
6.0,-20.5,-66.5,49.5,0.006359656849609954,1400.0,76.00% Parietal_Sup_L,44.00% Unknown,100.00% Left_Lateral_Occipital_Cortex_superior_division,38.29% GM_Superior_parietal_lobule_7A_L; 26.86% GM_Superior_parietal_lobule_7P_L,61.71% Background; 34.29% Brodmann_area_7
7.0,-50.5,-46.5,11.5,0.006704887831766231,816.0,85.29% Temporal_Mid_L,49.02% Unknown; 30.39% ctx_lh_S_temporal_sup,41.18% Left_Supramarginal_Gyrus_posterior_division; 38.24% Left_Angular_Gyrus,45.10% no_label,86.27% Background
8.0,51.5,-54.5,35.5,0.0061917283089348565,648.0,61.73% Parietal_Inf_R; 38.27% Angular_R,40.74% Right-Cerebral-White-Matter; 37.04% ctx_rh_G_pariet_inf-Angular,62.96% Right_Angular_Gyrus; 37.04% Right_Lateral_Occipital_Cortex_superior_division,98.77% GM_Inferior_parietal_lobule_Pga_R,58.02% Background; 39.51% Brodmann_area_40
9.0,-48.5,15.5,27.5,0.006131169446571557,432.0,68.52% Frontal_Inf_Tri_L; 27.78% Frontal_Inf_Oper_L,51.85% Unknown; 46.30% ctx_lh_G_front_inf-Opercular,68.52% Left_Inferior_Frontal_Gyrus_pars_opercularis; 29.63% Left_Middle_Frontal_Gyrus,88.89% GM_Broca's_area_BA44_L,55.56% Background; 44.44% Brodmann_area_9
10.0,39.5,59.5,-10.5,0.006154470233562982,424.0,71.70% Frontal_Mid_2_R,52.83% ctx_rh_G_orbital; 28.30% Unknown,100.00% Right_Frontal_Pole,100.00% no_label,67.92% Background; 26.42% Brodmann_area_10
11.0,11.5,-62.5,33.5,0.006398039186994235,360.0,91.11% Precuneus_R,44.44% ctx_rh_S_parieto_occipital; 31.11% Unknown,100.00% Right_Precuneous_Cortex,51.11% no_label; 28.89% GM_Superior_parietal_lobule_7M_R,60.00% Background; 40.00% Brodmann_area_7
12.0,33.5,-66.5,47.5,0.006667934336953543,352.0,90.91% Angular_R,63.64% Right-Cerebral-White-Matter,100.00% Right_Lateral_Occipital_Cortex_superior_division,50.00% GM_Superior_parietal_lobule_7A_R,59.09% Background; 38.64% Brodmann_area_7
13.0,51.5,-40.5,5.5,0.006158685961435008,344.0,90.70% Temporal_Mid_R,51.16% Unknown; 44.19% ctx_rh_S_temporal_sup,48.84% Right_Middle_Temporal_Gyrus_temporooccipital_part; 32.56% Right_Middle_Temporal_Gyrus_posterior_division,95.35% no_label,90.70% Background
14.0,55.5,9.5,11.5,0.006120926689445263,336.0,42.86% Frontal_Inf_Oper_R; 28.57% Postcentral_R,40.48% Unknown,92.86% Right_Precentral_Gyrus,61.90% GM_Broca's_area_BA44_R; 35.71% GM_Primary_somatosensory_cortex_BA3b_R,47.62% Brodmann_area_44; 28.57% Background
15.0,-48.5,31.5,-12.5,0.006305008263486188,328.0,75.61% Frontal_Inf_Orb_2_L,63.41% Unknown; 31.71% ctx_lh_G_front_inf-Orbital,87.80% Left_Frontal_Orbital_Cortex,95.12% GM_Broca's_area_BA45_L,85.37% Background
16.0,-6.5,15.5,47.5,0.006467805100748172,312.0,94.87% Supp_Motor_Area_L,46.15% ctx_lh_G_front_sup; 43.59% Unknown,69.23% Left_Paracingulate_Gyrus; 25.64% Right_Paracingulate_Gyrus,71.79% GM_Premotor_cortex_BA6_L,64.10% Background; 33.33% Brodmann_area_8
17.0,-18.5,63.5,17.5,0.006445484235882759,296.0,97.30% Frontal_Sup_2_L,54.05% Unknown; 37.84% ctx_lh_G_front_middle,100.00% Left_Frontal_Pole,100.00% no_label,75.68% Brodmann_area_10
18.0,57.5,-42.5,43.5,0.00650147916490419,288.0,55.56% SupraMarginal_R; 44.44% Parietal_Inf_R,72.22% ctx_rh_G_pariet_inf-Angular; 25.00% Right-Cerebral-White-Matter,91.67% Right_Supramarginal_Gyrus_posterior_division,88.89% GM_Inferior_parietal_lobule_PFm_R,58.33% Background; 41.67% Brodmann_area_40
19.0,55.5,33.5,3.5,0.006062125937794061,272.0,100.00% Frontal_Inf_Tri_R,52.94% ctx_rh_G_front_inf-Triangul; 26.47% ctx_rh_G_front_inf-Opercular,82.35% Right_Inferior_Frontal_Gyrus_pars_triangularis,91.18% GM_Broca's_area_BA45_R,52.94% Background; 47.06% Brodmann_area_45
20.0,-40.5,-14.5,-34.5,0.0062097007874399425,240.0,90.00% Temporal_Inf_L,66.67% ctx_lh_S_collat_transv_ant,70.00% Left_Temporal_Fusiform_Cortex_posterior_division; 26.67% Left_Inferior_Temporal_Gyrus_posterior_division,96.67% no_label,63.33% Background; 36.67% Brodmann_area_20
21.0,-24.5,-4.5,-18.5,0.0061006372173627215,240.0,96.67% Amygdala_L,100.00% Left-Amygdala,100.00% Left_Amygdala,96.67% GM_Amygdala_laterobasal_group_L,100.00% Amygdala
22.0,-10.5,49.5,-6.5,0.00619610333815217,240.0,90.00% Frontal_Med_Orb_L,56.67% ctx_lh_G_and_S_cingul-Ant; 36.67% Unknown,80.00% Left_Paracingulate_Gyrus,100.00% no_label,60.00% Background; 30.00% Brodmann_area_10
23.0,-36.5,59.5,5.5,0.006109635747069943,232.0,72.41% Frontal_Mid_2_L; 27.59% no_label,41.38% ctx_lh_G_front_middle; 31.03% Unknown,100.00% Left_Frontal_Pole,100.00% no_label,65.52% Background; 34.48% Brodmann_area_10
24.0,-44.5,-66.5,-44.5,0.005999745438910193,216.0,100.00% Cerebelum_Crus2_L,74.07% Left-Cerebellum-Cortex; 25.93% Unknown,100.00% no_label,100.00% no_label,100.00% Background
25.0,65.5,-52.5,9.5,0.006111925122914491,216.0,96.30% Temporal_Mid_R,59.26% ctx_rh_G_temporal_middle; 40.74% Unknown,70.37% Right_Middle_Temporal_Gyrus_temporooccipital_part; 25.93% Right_Angular_Gyrus,55.56% GM_Inferior_parietal_lobule_Pga_R; 29.63% no_label,66.67% Background
26.0,65.5,-28.5,-20.5,0.006544197766253581,208.0,80.77% Temporal_Inf_R,50.00% Unknown; 42.31% ctx_rh_G_temporal_middle,65.38% Right_Inferior_Temporal_Gyrus_posterior_division; 34.62% Right_Middle_Temporal_Gyrus_posterior_division,100.00% no_label,80.77% Background
27.0,5.5,-74.5,57.5,0.005915358904749155,200.0,100.00% Precuneus_R,80.00% Unknown,60.00% Right_Lateral_Occipital_Cortex_superior_division; 40.00% Right_Precuneous_Cortex,92.00% GM_Superior_parietal_lobule_7P_R,100.00% Background
28.0,43.5,-62.5,-32.5,0.006223169416189194,200.0,100.00% Cerebelum_Crus1_R,88.00% Right-Cerebellum-Cortex,100.00% no_label,100.00% no_label,100.00% Background
29.0,13.5,39.5,17.5,0.006141842585866866,184.0,100.00% Cingulate_Ant_R,60.87% ctx_rh_G_and_S_cingul-Ant; 39.13% Unknown,60.87% Right_Paracingulate_Gyrus; 39.13% Right_Cingulate_Gyrus_anterior_division,52.17% no_label; 47.83% WM_Cingulum_R,43.48% Background; 34.78% Brodmann_area_9
30.0,-56.5,19.5,13.5,0.006535811066303564,184.0,86.96% Frontal_Inf_Tri_L,47.83% Unknown; 43.48% ctx_lh_G_front_inf-Opercular,95.65% Left_Inferior_Frontal_Gyrus_pars_opercularis,60.87% GM_Broca's_area_BA44_L; 39.13% GM_Broca's_area_BA45_L,52.17% Brodmann_area_45; 43.48% Background
31.0,3.5,-36.5,45.5,0.0058752341884309835,184.0,65.22% Cingulate_Mid_R; 34.78% Cingulate_Mid_L,78.26% Unknown,52.17% Right_Cingulate_Gyrus_posterior_division; 30.43% Left_Cingulate_Gyrus_posterior_division,52.17% GM_Superior_parietal_lobule_5M_R,60.87% Background; 30.43% Brodmann_area_7
32.0,-6.5,59.5,3.5,0.006219894201918082,176.0,100.00% Frontal_Sup_Medial_L,59.09% Unknown; 40.91% ctx_lh_G_front_sup,95.45% Left_Frontal_Pole,100.00% no_label,77.27% Background
33.0,-2.5,-14.5,57.5,0.005951142785224048,176.0,59.09% Supp_Motor_Area_L; 40.91% Supp_Motor_Area_R,45.45% Unknown,36.36% Left_Precentral_Gyrus; 27.27% Right_Precentral_Gyrus,59.09% GM_Premotor_cortex_BA6_L; 40.91% GM_Premotor_cortex_BA6_R,54.55% Brodmann_area_6; 45.45% Background
34.0,-62.5,-34.5,35.5,0.006032442102547397,176.0,90.91% SupraMarginal_L,59.09% Unknown; 36.36% ctx_lh_G_pariet_inf-Supramar,100.00% Left_Supramarginal_Gyrus_anterior_division,77.27% GM_Inferior_parietal_lobule_PF_L,54.55% Background; 45.45% Brodmann_area_40
35.0,13.5,3.5,75.5,0.006375215681535857,168.0,95.24% Frontal_Sup_2_R,57.14% Unknown; 42.86% ctx_rh_G_front_sup,95.24% Right_Superior_Frontal_Gyrus,100.00% GM_Premotor_cortex_BA6_R,100.00% Background
36.0,59.5,-62.5,-2.5,0.0059365832823373025,168.0,52.38% Temporal_Inf_R; 47.62% Temporal_Mid_R,71.43% ctx_rh_G_temporal_inf; 28.57% Unknown,76.19% Right_Lateral_Occipital_Cortex_inferior_division,57.14% no_label; 42.86% GM_Visual_cortex_V5_R,71.43% Brodmann_area_37
37.0,-26.5,63.5,5.5,0.005848472099751234,160.0,100.00% Frontal_Sup_2_L,35.00% ctx_lh_S_front_middle; 35.00% Unknown,100.00% Left_Frontal_Pole,100.00% no_label,65.00% Background; 35.00% Brodmann_area_10
