cluster_id,peak_x,peak_y,peak_z,peak_value,volume_mm,aal,destrieux,harvard_oxford,juelich,talairach_ba
1.0,-58.5,-16.5,3.5,0.03915627673268318,25760.0,Temporal_Sup_L,ctx_lh_G_temp_sup-Lateral,43.0% Left_Planum_Temporale,0% no_label,Background
2.0,57.5,-10.5,3.5,0.04189838469028473,19568.0,Temporal_Sup_R,ctx_rh_G_temp_sup-G_T_transv,35.0% Right_Planum_Temporale,33.0% GM_Primary_auditory_cortex_TE1.0_R,Background
3.0,57.5,-2.5,41.5,0.016976257786154747,3512.0,Precentral_R,ctx_rh_G_precentral,72.0% Right_Precentral_Gyrus,72.0% GM_Premotor_cortex_BA6_R,Brodmann_area_6
4.0,-10.5,-6.5,65.5,0.012023244053125381,3504.0,Supp_Motor_Area_L,Left-Cerebral-White-Matter,26.0% Left_Superior_Frontal_Gyrus,73.0% GM_Premotor_cortex_BA6_L,Brodmann_area_6
5.0,-56.5,-8.5,49.5,0.020713867619633675,3400.0,no_label,Unknown,29.0% Left_Precentral_Gyrus,0% no_label,Background
6.0,-20.5,-66.5,49.5,0.0108628049492836,1400.0,Parietal_Sup_L,Unknown,59.0% Left_Lateral_Occipital_Cortex_superior_division,32.0% GM_Superior_parietal_lobule_7A_L,Brodmann_area_7
7.0,-50.5,-46.5,11.5,0.011827387847006321,816.0,Temporal_Mid_L,Unknown,35.0% Left_Supramarginal_Gyrus_posterior_division,0% no_label,Background
8.0,51.5,-54.5,35.5,0.008101952262222767,648.0,Angular_R,ctx_rh_G_pariet_inf-Angular,66.0% Right_Angular_Gyrus,70.0% GM_Inferior_parietal_lobule_Pga_R,Background
9.0,-48.5,15.5,27.5,0.00849385280162096,432.0,Frontal_Inf_Tri_L,ctx_lh_G_front_inf-Opercular,40.0% Left_Inferior_Frontal_Gyrus_pars_opercularis,50.0% GM_Broca's_area_BA44_L,Brodmann_area_9
10.0,39.5,59.5,-10.5,0.007950203493237495,424.0,Frontal_Mid_2_R,Unknown,62.0% Right_Frontal_Pole,0% no_label,Brodmann_area_10
11.0,11.5,-62.5,33.5,0.008737044408917427,360.0,Precuneus_R,Right-Cerebral-White-Matter,51.0% Right_Precuneous_Cortex,0% no_label,Background
12.0,33.5,-66.5,47.5,0.009967141784727573,352.0,Angular_R,Right-Cerebral-White-Matter,66.0% Right_Lateral_Occipital_Cortex_superior_division,0% no_label,Brodmann_area_7
13.0,51.5,-40.5,5.5,0.007842827588319778,344.0,Temporal_Mid_R,ctx_rh_S_temporal_sup,34.0% Right_Middle_Temporal_Gyrus_temporooccipital_part,0% no_label,Brodmann_area_22
14.0,55.5,9.5,11.5,0.008369521237909794,336.0,Frontal_Inf_Oper_R,ctx_rh_G_front_inf-Opercular,41.0% Right_Precentral_Gyrus; 36.0% Right_Inferior_Frontal_Gyrus_pars_opercularis,60.0% GM_Broca's_area_BA44_R,Brodmann_area_44
15.0,-48.5,31.5,-12.5,0.008068980649113655,328.0,Frontal_Inf_Orb_2_L,ctx_lh_G_front_inf-Orbital,67.0% Left_Frontal_Orbital_Cortex,0% no_label,Background
16.0,-6.5,15.5,47.5,0.009038946591317654,312.0,Supp_Motor_Area_L,ctx_lh_G_front_sup,48.0% Left_Paracingulate_Gyrus,0% no_label,Background
17.0,-18.5,63.5,17.5,0.00918683223426342,296.0,Frontal_Sup_2_L,Unknown,82.0% Left_Frontal_Pole,0% no_label,Brodmann_area_10
18.0,57.5,-42.5,43.5,0.008769223466515541,288.0,SupraMarginal_R,Right-Cerebral-White-Matter,62.0% Right_Supramarginal_Gyrus_posterior_division,100.0% GM_Inferior_parietal_lobule_PFm_R; 42.0% GM_Inferior_parietal_lobule_PF_R,Brodmann_area_40
