cluster_id,peak_x,peak_y,peak_z,cluster_mean,volume_mm,aal,destrieux,harvard_oxford,juelich,talairach_ba
1.0,-54.5,-18.5,3.5,0.009161080875905734,26912.0,36.83% Temporal_Sup_L,48.10% Unknown,,31.36% no_label,58.56% Background
2.0,57.5,-10.5,3.5,0.009881601372086815,19856.0,57.09% Temporal_Sup_R,44.68% Unknown,,37.79% no_label,57.01% Background
3.0,-10.5,-6.5,65.5,0.006997402250857615,3280.0,73.90% Supp_Motor_Area_L; 25.85% Supp_Motor_Area_R,36.83% ctx_lh_G_front_sup; 34.15% Unknown,60.49% Left_Juxtapositional_Lobule_Cortex_(formerly_Supplementary_Motor_Cortex),73.90% GM_Premotor_cortex_BA6_L,69.27% Background; 30.73% Brodmann_area_6
4.0,55.5,-4.5,43.5,0.008265795225158261,3248.0,65.76% Precentral_R; 28.82% Frontal_Mid_2_R,46.80% Unknown; 31.28% ctx_rh_G_precentral,72.41% Right_Precentral_Gyrus,67.00% GM_Premotor_cortex_BA6_R,68.97% Background
5.0,-56.5,-8.5,49.5,0.009577171558048577,3200.0,56.50% Postcentral_L; 26.75% no_label,50.75% Unknown,69.50% Left_Precentral_Gyrus; 25.50% Left_Postcentral_Gyrus,31.50% no_label; 28.50% GM_Primary_somatosensory_cortex_BA1_L,64.50% Background
6.0,39.5,59.5,-8.5,0.006536494210201631,1112.0,62.59% Frontal_Mid_2_R,46.04% ctx_rh_G_orbital; 28.06% Unknown,100.00% Right_Frontal_Pole,100.00% no_label,63.31% Background; 25.90% Brodmann_area_10
7.0,-18.5,-66.5,47.5,0.0064969158380246556,976.0,90.98% Parietal_Sup_L,48.36% Unknown,100.00% Left_Lateral_Occipital_Cortex_superior_division,36.89% GM_Superior_parietal_lobule_7A_L; 29.51% GM_Inferior_parietal_lobule_Pga_L,63.11% Background; 36.89% Brodmann_area_7
8.0,33.5,-66.5,47.5,0.006330161364566462,816.0,53.92% Angular_R; 44.12% Parietal_Inf_R,49.02% Right-Cerebral-White-Matter; 29.41% ctx_rh_G_pariet_inf-Angular,63.73% Right_Lateral_Occipital_Cortex_superior_division; 36.27% Right_Angular_Gyrus,64.71% GM_Inferior_parietal_lobule_Pga_R,42.16% Background; 32.35% Brodmann_area_40; 25.49% Brodmann_area_7
9.0,-2.5,27.5,51.5,0.00613897017584267,704.0,32.95% Supp_Motor_Area_L,36.36% Unknown; 26.14% ctx_lh_G_front_sup,36.36% Right_Paracingulate_Gyrus,47.73% GM_Premotor_cortex_BA6_R; 39.77% GM_Premotor_cortex_BA6_L,61.36% Background; 25.00% Brodmann_area_8
10.0,-64.5,-38.5,-8.5,0.006304359868352796,648.0,90.12% Temporal_Mid_L,35.80% ctx_lh_G_temporal_middle; 29.63% Unknown,66.67% Left_Middle_Temporal_Gyrus_posterior_division,100.00% no_label,61.73% Background
11.0,-22.5,59.5,15.5,0.006054166088099866,544.0,98.53% Frontal_Sup_2_L,35.29% ctx_lh_G_front_middle; 27.94% Left-Cerebral-White-Matter; 25.00% Unknown,100.00% Left_Frontal_Pole,100.00% no_label,67.65% Brodmann_area_10; 32.35% Background
12.0,1.5,11.5,57.5,0.006485999272101455,360.0,57.78% Supp_Motor_Area_L; 42.22% Supp_Motor_Area_R,51.11% Unknown; 31.11% ctx_lh_G_front_sup,42.22% Right_Superior_Frontal_Gyrus; 33.33% Left_Superior_Frontal_Gyrus,57.78% GM_Premotor_cortex_BA6_L; 42.22% GM_Premotor_cortex_BA6_R,66.67% Background; 33.33% Brodmann_area_6
13.0,43.5,-64.5,-32.5,0.0058845230623295434,304.0,100.00% Cerebelum_Crus1_R,86.84% Right-Cerebellum-Cortex,100.00% no_label,100.00% no_label,100.00% Background
14.0,11.5,-64.5,33.5,0.006380252344043632,304.0,92.11% Precuneus_R,39.47% ctx_rh_S_parieto_occipital; 31.58% Right-Cerebral-White-Matter; 28.95% Unknown,100.00% Right_Precuneous_Cortex,65.79% no_label,71.05% Background; 28.95% Brodmann_area_7
15.0,31.5,61.5,13.5,0.006175025190050538,296.0,94.59% Frontal_Sup_2_R,48.65% ctx_rh_G_front_middle; 37.84% Unknown,100.00% Right_Frontal_Pole,100.00% no_label,78.38% Brodmann_area_10
16.0,-28.5,-82.5,-34.5,0.006113718702856983,280.0,74.29% Cerebelum_Crus2_L; 25.71% Cerebelum_Crus1_L,100.00% Left-Cerebellum-Cortex,100.00% no_label,100.00% no_label,100.00% Background
17.0,-40.5,-2.5,59.5,0.006406728058521237,280.0,100.00% Precentral_L,34.29% Unknown; 28.57% ctx_lh_G_precentral,74.29% Left_Middle_Frontal_Gyrus,100.00% GM_Premotor_cortex_BA6_L,88.57% Background
18.0,-44.5,-68.5,35.5,0.005997136927076749,280.0,85.71% Angular_L,31.43% ctx_lh_S_temporal_sup; 31.43% ctx_lh_G_pariet_inf-Angular; 28.57% Left-Cerebral-White-Matter,100.00% Left_Lateral_Occipital_Cortex_superior_division,71.43% GM_Inferior_parietal_lobule_PGp_L; 28.57% GM_Inferior_parietal_lobule_Pga_L,48.57% Brodmann_area_39; 31.43% Background
19.0,-48.5,15.5,27.5,0.005998250055948601,272.0,61.76% Frontal_Inf_Tri_L; 29.41% Frontal_Inf_Oper_L,70.59% Unknown; 29.41% ctx_lh_G_front_inf-Opercular,52.94% Left_Inferior_Frontal_Gyrus_pars_opercularis; 44.12% Left_Middle_Frontal_Gyrus,97.06% GM_Broca's_area_BA44_L,55.88% Brodmann_area_9; 44.12% Background
20.0,-52.5,29.5,-8.5,0.006053053951986572,272.0,85.29% Frontal_Inf_Orb_2_L,67.65% Unknown; 29.41% ctx_lh_G_front_inf-Orbital,52.94% Left_Frontal_Orbital_Cortex; 47.06% Left_Inferior_Frontal_Gyrus_pars_triangularis,97.06% GM_Broca's_area_BA45_L,88.24% Background
21.0,-64.5,-58.5,-6.5,0.006186480031293982,272.0,50.00% Temporal_Inf_L; 32.35% Temporal_Mid_L,41.18% ctx_lh_G_temporal_inf; 41.18% Unknown,79.41% Left_Middle_Temporal_Gyrus_temporooccipital_part,100.00% no_label,73.53% Background; 26.47% Brodmann_area_37
22.0,5.5,-22.5,43.5,0.006125184707343578,264.0,81.82% Cingulate_Mid_R,78.79% Unknown,81.82% Right_Cingulate_Gyrus_posterior_division,33.33% no_label; 30.30% GM_Premotor_cortex_BA6_R,66.67% Background; 27.27% Brodmann_area_31
23.0,-48.5,-56.5,-24.5,0.005959782343838484,248.0,64.52% Cerebelum_Crus1_L,74.19% Unknown; 25.81% Left-Cerebellum-Cortex,45.16% Left_Inferior_Temporal_Gyrus_temporooccipital_part; 38.71% Left_Temporal_Occipital_Fusiform_Cortex,100.00% no_label,100.00% Background
