cluster_id,peak_x,peak_y,peak_z,peak_value,volume_mm,aal,destrieux,harvard_oxford,juelich,talairach_ba
1.0,-54.5,-18.5,3.5,0.038634445518255234,26912.0,Temporal_Sup_L,ctx_lh_S_temporal_transverse,35.0% Left_Planum_Temporale; 26.0% Left_Heschl's_Gyrus_(includes_H1_and_H2),0% no_label,Background
2.0,57.5,-10.5,3.5,0.04293224215507507,19856.0,Temporal_Sup_R,ctx_rh_G_temp_sup-G_T_transv,35.0% Right_Planum_Temporale,33.0% GM_Primary_auditory_cortex_TE1.0_R,Background
3.0,-10.5,-6.5,65.5,0.012258290313184261,3280.0,Supp_Motor_Area_L,Left-Cerebral-White-Matter,26.0% Left_Superior_Frontal_Gyrus,73.0% GM_Premotor_cortex_BA6_L,Brodmann_area_6
4.0,55.5,-4.5,43.5,0.021360544487833977,3248.0,Precentral_R,ctx_rh_G_precentral,61.0% Right_Precentral_Gyrus,68.0% GM_Premotor_cortex_BA6_R,Brodmann_area_6
5.0,-56.5,-8.5,49.5,0.02431045100092888,3200.0,no_label,Unknown,29.0% Left_Precentral_Gyrus,0% no_label,Background
6.0,39.5,59.5,-8.5,0.010447031818330288,1112.0,Frontal_Mid_2_R,Unknown,64.0% Right_Frontal_Pole,0% no_label,Brodmann_area_10
7.0,-18.5,-66.5,47.5,0.009568363428115845,976.0,Parietal_Sup_L,Unknown,49.0% Left_Lateral_Occipital_Cortex_superior_division,0% no_label,Background
8.0,33.5,-66.5,47.5,0.008868023753166199,816.0,Angular_R,Right-Cerebral-White-Matter,66.0% Right_Lateral_Occipital_Cortex_superior_division,0% no_label,Brodmann_area_7
9.0,-2.5,27.5,51.5,0.008276712149381638,704.0,Frontal_Sup_Medial_L,ctx_lh_G_front_sup,80.0% Left_Superior_Frontal_Gyrus,0% no_label,Brodmann_area_8
10.0,-64.5,-38.5,-8.5,0.008517996408045292,648.0,Temporal_Mid_L,Left-Cerebral-White-Matter,52.0% Left_Middle_Temporal_Gyrus_posterior_division,0% no_label,Brodmann_area_21
11.0,-22.5,59.5,15.5,0.007434265688061714,544.0,Frontal_Sup_2_L,Left-Cerebral-White-Matter,78.0% Left_Frontal_Pole,0% no_label,Brodmann_area_10
12.0,1.5,11.5,57.5,0.009222269058227539,360.0,Supp_Motor_Area_R,Unknown,32.0% Right_Superior_Frontal_Gyrus,63.0% GM_Premotor_cortex_BA6_R,Background
13.0,43.5,-64.5,-32.5,0.007205272559076548,304.0,Cerebelum_Crus1_R,Right-Cerebellum-Cortex,0% no_label,0% no_label,Background
14.0,11.5,-64.5,33.5,0.008460327051579952,304.0,Precuneus_R,ctx_rh_S_parieto_occipital,52.0% Right_Precuneous_Cortex,0% no_label,Brodmann_area_7
15.0,31.5,61.5,13.5,0.0075208027847111225,296.0,Frontal_Sup_2_R,Unknown,79.0% Right_Frontal_Pole,0% no_label,Brodmann_area_10
16.0,-28.5,-82.5,-34.5,0.008401612751185894,280.0,Cerebelum_Crus2_L,Left-Cerebellum-Cortex,0% no_label,0% no_label,Background
17.0,-44.5,-68.5,35.5,0.007094052154570818,280.0,Angular_L,Left-Cerebral-White-Matter,64.0% Left_Lateral_Occipital_Cortex_superior_division,57.0% GM_Inferior_parietal_lobule_PGp_L; 40.0% GM_Inferior_parietal_lobule_Pga_L,Brodmann_area_39
18.0,-40.5,-2.5,59.5,0.008251623250544071,280.0,Precentral_L,ctx_lh_G_precentral,43.0% Left_Middle_Frontal_Gyrus; 39.0% Left_Precentral_Gyrus,46.0% GM_Premotor_cortex_BA6_L,Background
19.0,-64.5,-58.5,-6.5,0.00872354581952095,272.0,Temporal_Inf_L,Unknown,35.0% Left_Middle_Temporal_Gyrus_temporooccipital_part,0% no_label,Background
20.0,-52.5,29.5,-8.5,0.00752371596172452,272.0,Frontal_Inf_Orb_2_L,Unknown,31.0% Left_Inferior_Frontal_Gyrus_pars_triangularis; 26.0% Left_Frontal_Orbital_Cortex,0% no_label,Background
21.0,-48.5,15.5,27.5,0.007609766907989979,272.0,Frontal_Inf_Tri_L,ctx_lh_G_front_inf-Opercular,40.0% Left_Inferior_Frontal_Gyrus_pars_opercularis,50.0% GM_Broca's_area_BA44_L,Brodmann_area_9
22.0,5.5,-22.5,43.5,0.007396497298032045,264.0,Cingulate_Mid_R,Unknown,68.0% Right_Cingulate_Gyrus_posterior_division,28.0% GM_Premotor_cortex_BA6_R,Brodmann_area_31
