cluster_id,peak_x,peak_y,peak_z,cluster_mean,volume_mm,aal,destrieux,harvard_oxford,juelich,talairach_ba
1.0,-54.5,-18.5,3.5,0.009369058162286859,26192.0,38.49% Temporal_Sup_L,48.87% Unknown,,32.68% no_label,58.09% Background
2.0,57.5,-10.5,3.5,0.01015765318164469,20504.0,55.36% Temporal_Sup_R,45.65% Unknown,,40.30% no_label,58.25% Background
3.0,-56.5,-8.5,49.5,0.010061524665704178,3472.0,51.15% Postcentral_L; 25.35% no_label,49.08% Unknown; 25.81% ctx_lh_G_precentral,70.97% Left_Precentral_Gyrus,30.41% no_label; 29.72% GM_Premotor_cortex_BA6_L; 26.73% GM_Primary_somatosensory_cortex_BA1_L,64.06% Background
4.0,55.5,-6.5,43.5,0.00845081260505623,3448.0,66.13% Precentral_R; 26.45% Frontal_Mid_2_R,45.24% Unknown; 28.54% ctx_rh_G_precentral,76.80% Right_Precentral_Gyrus,64.27% GM_Premotor_cortex_BA6_R,70.07% Background
5.0,-10.5,-6.5,65.5,0.007004605926667455,2848.0,67.70% Supp_Motor_Area_L; 30.62% Supp_Motor_Area_R,39.04% Unknown; 32.87% ctx_lh_G_front_sup,57.02% Left_Juxtapositional_Lobule_Cortex_(formerly_Supplementary_Motor_Cortex); 30.06% Right_Juxtapositional_Lobule_Cortex_(formerly_Supplementary_Motor_Cortex),69.10% GM_Premotor_cortex_BA6_L; 28.37% GM_Premotor_cortex_BA6_R,66.57% Background; 33.15% Brodmann_area_6
6.0,39.5,59.5,-8.5,0.006510274574998044,1032.0,71.32% Frontal_Mid_2_R,44.96% ctx_rh_G_orbital; 27.13% Unknown,100.00% Right_Frontal_Pole,100.00% no_label,60.47% Background; 32.56% Brodmann_area_10
7.0,-20.5,-70.5,51.5,0.006451806340366602,1000.0,95.20% Parietal_Sup_L,51.20% Unknown,100.00% Left_Lateral_Occipital_Cortex_superior_division,45.60% GM_Superior_parietal_lobule_7A_L,64.80% Background; 34.40% Brodmann_area_7
8.0,-64.5,-38.5,-8.5,0.006415085355239408,888.0,91.89% Temporal_Mid_L,40.54% ctx_lh_G_temporal_middle; 26.13% Unknown,79.28% Left_Middle_Temporal_Gyrus_posterior_division,100.00% no_label,63.06% Background
9.0,-8.5,13.5,47.5,0.006539636296855117,704.0,78.41% Supp_Motor_Area_L,43.18% ctx_lh_G_front_sup; 40.91% Unknown,46.59% Left_Paracingulate_Gyrus,77.27% GM_Premotor_cortex_BA6_L,50.00% Background; 36.36% Brodmann_area_6
10.0,-54.5,13.5,23.5,0.006576456187039982,648.0,60.49% Frontal_Inf_Tri_L; 35.80% Frontal_Inf_Oper_L,50.62% Unknown; 46.91% ctx_lh_G_front_inf-Opercular,77.78% Left_Inferior_Frontal_Gyrus_pars_opercularis,87.65% GM_Broca's_area_BA44_L,59.26% Background; 40.74% Brodmann_area_9
11.0,51.5,-56.5,37.5,0.006411927253857516,456.0,54.39% Parietal_Inf_R; 45.61% Angular_R,42.11% Right-Cerebral-White-Matter; 29.82% ctx_rh_G_pariet_inf-Angular,57.89% Right_Angular_Gyrus; 42.11% Right_Lateral_Occipital_Cortex_superior_division,98.25% GM_Inferior_parietal_lobule_Pga_R,56.14% Background; 43.86% Brodmann_area_40
12.0,-64.5,-56.5,-6.5,0.006408775439485908,400.0,42.00% Temporal_Inf_L; 30.00% Temporal_Mid_L; 28.00% no_label,58.00% Unknown; 28.00% ctx_lh_G_temporal_inf,66.00% Left_Middle_Temporal_Gyrus_temporooccipital_part; 34.00% Left_Lateral_Occipital_Cortex_inferior_division,100.00% no_label,74.00% Background
13.0,11.5,-62.5,33.5,0.0064236897509545084,320.0,87.50% Precuneus_R,47.50% Right-Cerebral-White-Matter; 35.00% ctx_rh_S_parieto_occipital,100.00% Right_Precuneous_Cortex,62.50% no_label,75.00% Background; 25.00% Brodmann_area_7
14.0,-40.5,-4.5,47.5,0.0061105480172524325,304.0,89.47% Precentral_L,28.95% ctx_lh_G_precentral; 28.95% Left-Cerebral-White-Matter; 26.32% Unknown,86.84% Left_Precentral_Gyrus,100.00% GM_Premotor_cortex_BA6_L,65.79% Brodmann_area_6; 34.21% Background
15.0,37.5,45.5,33.5,0.00619743944372277,296.0,100.00% Frontal_Mid_2_R,59.46% Unknown,100.00% Right_Frontal_Pole,100.00% no_label,54.05% Brodmann_area_9; 40.54% Background
16.0,61.5,-40.5,45.5,0.006821511403864456,288.0,52.78% SupraMarginal_R; 36.11% Parietal_Inf_R,50.00% ctx_rh_G_pariet_inf-Angular; 27.78% Unknown,100.00% Right_Supramarginal_Gyrus_posterior_division,69.44% GM_Inferior_parietal_lobule_PFm_R; 27.78% no_label,72.22% Background; 27.78% Brodmann_area_40
17.0,23.5,65.5,-0.5,0.0063505260217370406,264.0,93.94% Frontal_Sup_2_R,48.48% ctx_rh_G_and_S_transv_frontopol; 39.39% Unknown,100.00% Right_Frontal_Pole,100.00% no_label,54.55% Background; 45.45% Brodmann_area_10
18.0,-50.5,27.5,-8.5,0.006719730110489763,256.0,90.62% Frontal_Inf_Orb_2_L,71.88% Unknown; 25.00% ctx_lh_G_front_inf-Orbital,59.38% Left_Frontal_Orbital_Cortex; 40.62% Left_Inferior_Frontal_Gyrus_pars_triangularis,96.88% GM_Broca's_area_BA45_L,84.38% Background
19.0,-26.5,-6.5,-16.5,0.006208809849340469,256.0,84.38% Amygdala_L,93.75% Left-Amygdala,100.00% Left_Amygdala,71.88% GM_Amygdala_laterobasal_group_L,87.50% Amygdala
20.0,63.5,-28.5,-20.5,0.006509849365102127,256.0,96.88% Temporal_Inf_R,59.38% Unknown,71.88% Right_Inferior_Temporal_Gyrus_posterior_division; 28.12% Right_Middle_Temporal_Gyrus_posterior_division,100.00% no_label,90.62% Background
21.0,-16.5,-54.5,3.5,0.006504417667465825,248.0,87.10% Calcarine_L,67.74% Unknown; 32.26% ctx_lh_S_calcarine,80.65% Left_Precuneous_Cortex,67.74% GM_Visual_cortex_V1_BA17_L,48.39% Background; 25.81% Brodmann_area_30
22.0,1.5,29.5,55.5,0.00621092974418594,248.0,58.06% Frontal_Sup_Medial_L; 38.71% Frontal_Sup_Medial_R,58.06% Unknown,51.61% Right_Superior_Frontal_Gyrus; 48.39% Left_Superior_Frontal_Gyrus,45.16% no_label; 35.48% GM_Premotor_cortex_BA6_R,70.97% Background
23.0,5.5,-22.5,43.5,0.006452197053780158,240.0,96.67% Cingulate_Mid_R,63.33% Unknown,93.33% Right_Cingulate_Gyrus_posterior_division,66.67% GM_Premotor_cortex_BA6_R,63.33% Background; 33.33% Brodmann_area_31
24.0,-8.5,-12.5,59.5,0.005928623409749105,232.0,96.55% Supp_Motor_Area_L,41.38% Left-Cerebral-White-Matter; 34.48% ctx_lh_G_front_sup,48.28% Left_Juxtapositional_Lobule_Cortex_(formerly_Supplementary_Motor_Cortex); 44.83% Left_Precentral_Gyrus,96.55% GM_Premotor_cortex_BA6_L,48.28% Brodmann_area_6; 48.28% Background
25.0,-18.5,63.5,17.5,0.006527769362687,224.0,100.00% Frontal_Sup_2_L,50.00% Unknown; 46.43% ctx_lh_G_front_middle,100.00% Left_Frontal_Pole,100.00% no_label,71.43% Brodmann_area_10; 28.57% Background
26.0,-6.5,19.5,39.5,0.006163962218644363,224.0,60.71% Cingulate_Mid_L; 35.71% Frontal_Sup_Medial_L,53.57% Unknown,53.57% Left_Paracingulate_Gyrus; 46.43% Left_Cingulate_Gyrus_anterior_division,100.00% no_label,53.57% Background; 46.43% Brodmann_area_32
27.0,15.5,-66.5,-16.5,0.006079503944000373,208.0,100.00% Cerebelum_6_R,61.54% Right-Cerebellum-Cortex; 34.62% Unknown,57.69% Right_Lingual_Gyrus; 38.46% Right_Occipital_Fusiform_Gyrus,100.00% no_label,100.00% Background
28.0,31.5,-64.5,45.5,0.006772668978485923,208.0,88.46% Angular_R,69.23% Right-Cerebral-White-Matter,100.00% Right_Lateral_Occipital_Cortex_superior_division,57.69% GM_Superior_parietal_lobule_7A_R,53.85% Brodmann_area_7; 46.15% Background
29.0,43.5,-64.5,-34.5,0.006100518861785531,192.0,100.00% Cerebelum_Crus1_R,95.83% Right-Cerebellum-Cortex,100.00% no_label,100.00% no_label,100.00% Background
