cluster_id,peak_x,peak_y,peak_z,peak_value,volume_mm,aal,destrieux,harvard_oxford,juelich,talairach_ba
1.0,-54.5,-18.5,3.5,0.031864654272794724,26192.0,Temporal_Sup_L,ctx_lh_S_temporal_transverse,35.0% Left_Planum_Temporale; 26.0% Left_Heschl's_Gyrus_(includes_H1_and_H2),0% no_label,Background
2.0,57.5,-10.5,3.5,0.04596032202243805,20504.0,Temporal_Sup_R,ctx_rh_G_temp_sup-G_T_transv,35.0% Right_Planum_Temporale,33.0% GM_Primary_auditory_cortex_TE1.0_R,Background
3.0,-56.5,-8.5,49.5,0.025219731032848358,3472.0,no_label,Unknown,29.0% Left_Precentral_Gyrus,0% no_label,Background
4.0,55.5,-6.5,43.5,0.018119720742106438,3448.0,Precentral_R,Unknown,54.0% Right_Precentral_Gyrus; 33.0% Right_Postcentral_Gyrus,56.0% GM_Premotor_cortex_BA6_R; 44.0% GM_Primary_motor_cortex_BA4a_R; 26.0% GM_Primary_somatosensory_cortex_BA3b_R; 25.0% GM_Primary_somatosensory_cortex_BA1_R,Brodmann_area_4
5.0,-10.5,-6.5,65.5,0.013460724614560604,2848.0,Supp_Motor_Area_L,Left-Cerebral-White-Matter,26.0% Left_Superior_Frontal_Gyrus,73.0% GM_Premotor_cortex_BA6_L,Brodmann_area_6
6.0,39.5,59.5,-8.5,0.010155821219086647,1032.0,Frontal_Mid_2_R,Unknown,64.0% Right_Frontal_Pole,0% no_label,Brodmann_area_10
7.0,-20.5,-70.5,51.5,0.009587381966412067,1000.0,Parietal_Sup_L,Unknown,66.0% Left_Lateral_Occipital_Cortex_superior_division,38.0% GM_Superior_parietal_lobule_7P_L,Background
8.0,-64.5,-38.5,-8.5,0.009846489876508713,888.0,Temporal_Mid_L,Left-Cerebral-White-Matter,52.0% Left_Middle_Temporal_Gyrus_posterior_division,0% no_label,Brodmann_area_21
9.0,-8.5,13.5,47.5,0.009265745989978313,704.0,Supp_Motor_Area_L,ctx_lh_G_front_sup,41.0% Left_Paracingulate_Gyrus,0% no_label,Background
10.0,-54.5,13.5,23.5,0.009800148196518421,648.0,Frontal_Inf_Oper_L,Unknown,65.0% Left_Inferior_Frontal_Gyrus_pars_opercularis,54.0% GM_Broca's_area_BA44_L; 30.0% GM_Broca's_area_BA45_L,Background
11.0,51.5,-56.5,37.5,0.008793235756456852,456.0,Angular_R,ctx_rh_S_temporal_sup,50.0% Right_Angular_Gyrus; 27.0% Right_Lateral_Occipital_Cortex_superior_division,70.0% GM_Inferior_parietal_lobule_Pga_R,Brodmann_area_40
12.0,-64.5,-56.5,-6.5,0.0085651446133852,400.0,Temporal_Mid_L,Unknown,45.0% Left_Middle_Temporal_Gyrus_temporooccipital_part,0% no_label,Brodmann_area_37
13.0,11.5,-62.5,33.5,0.009225881658494473,320.0,Precuneus_R,Right-Cerebral-White-Matter,51.0% Right_Precuneous_Cortex,0% no_label,Background
14.0,-40.5,-4.5,47.5,0.007872173562645912,304.0,Precentral_L,ctx_lh_G_precentral,50.0% Left_Precentral_Gyrus,47.0% GM_Premotor_cortex_BA6_L,Background
15.0,37.5,45.5,33.5,0.008327796123921871,296.0,Frontal_Mid_2_R,Unknown,64.0% Right_Frontal_Pole,0% no_label,Brodmann_area_9
16.0,61.5,-40.5,45.5,0.010418280027806759,288.0,Parietal_Inf_R,ctx_rh_G_pariet_inf-Angular,38.0% Right_Supramarginal_Gyrus_posterior_division,49.0% GM_Inferior_parietal_lobule_PFm_R; 36.0% GM_Inferior_parietal_lobule_PF_R,Background
17.0,23.5,65.5,-0.5,0.008354407735168934,264.0,Frontal_Sup_2_R,ctx_rh_G_and_S_transv_frontopol,79.0% Right_Frontal_Pole,0% no_label,Brodmann_area_10
18.0,-50.5,27.5,-8.5,0.01020440086722374,256.0,Frontal_Inf_Orb_2_L,Unknown,51.0% Left_Frontal_Orbital_Cortex,0% no_label,Background
19.0,-26.5,-6.5,-16.5,0.007285557687282562,256.0,Amygdala_L,Left-Amygdala,95.0% Left_Amygdala,75.0% GM_Amygdala_laterobasal_group_L; 36.0% GM_Hippocampus_cornu_ammonis_L,Amygdala
20.0,63.5,-28.5,-20.5,0.00776986638084054,256.0,Temporal_Inf_R,Unknown,43.0% Right_Inferior_Temporal_Gyrus_posterior_division,0% no_label,Background
21.0,1.5,29.5,55.5,0.00742765748873353,248.0,Frontal_Sup_Medial_R,Unknown,53.0% Right_Superior_Frontal_Gyrus,0% no_label,Background
22.0,-16.5,-54.5,3.5,0.008130119182169437,248.0,Calcarine_L,Unknown,48.0% Left_Precuneous_Cortex,58.0% GM_Visual_cortex_V1_BA17_L,Brodmann_area_18
23.0,5.5,-22.5,43.5,0.009163091890513897,240.0,Cingulate_Mid_R,Unknown,68.0% Right_Cingulate_Gyrus_posterior_division,28.0% GM_Premotor_cortex_BA6_R,Brodmann_area_31
24.0,-8.5,-12.5,59.5,0.0071473452262580395,232.0,Supp_Motor_Area_L,Left-Cerebral-White-Matter,0% no_label,60.0% GM_Premotor_cortex_BA6_L,Background
25.0,-18.5,63.5,17.5,0.00931806955486536,224.0,Frontal_Sup_2_L,Unknown,82.0% Left_Frontal_Pole,0% no_label,Brodmann_area_10
26.0,-6.5,19.5,39.5,0.0076508973725140095,224.0,Frontal_Sup_Medial_L,ctx_lh_G_front_sup,62.0% Left_Paracingulate_Gyrus,0% no_label,Brodmann_area_32
27.0,15.5,-66.5,-16.5,0.00730766961351037,208.0,Cerebelum_6_R,Right-Cerebellum-Cortex,0% no_label,0% no_label,Background
28.0,31.5,-64.5,45.5,0.008154424838721752,208.0,Angular_R,Right-Cerebral-White-Matter,75.0% Right_Lateral_Occipital_Cortex_superior_division,0% no_label,Background
29.0,43.5,-64.5,-34.5,0.007445995695888996,192.0,Cerebelum_Crus1_R,Right-Cerebellum-Cortex,0% no_label,0% no_label,Background
30.0,51.5,-56.5,53.5,0.0069808028638362885,184.0,Parietal_Inf_R,Unknown,0% no_label,0% no_label,Background
31.0,-24.5,-78.5,-34.5,0.008808904327452183,184.0,Cerebelum_Crus2_L,Left-Cerebellum-Cortex,0% no_label,0% no_label,Background
32.0,13.5,39.5,19.5,0.008683055639266968,160.0,Cingulate_Ant_R,ctx_rh_G_and_S_cingul-Ant,34.0% Right_Paracingulate_Gyrus,0% no_label,Brodmann_area_9
33.0,47.5,-42.5,13.5,0.009468453004956245,152.0,Temporal_Sup_R,Unknown,35.0% Right_Supramarginal_Gyrus_posterior_division,0% no_label,Background
34.0,61.5,-48.5,31.5,0.00831769872456789,144.0,SupraMarginal_R,Unknown,63.0% Right_Angular_Gyrus,79.0% GM_Inferior_parietal_lobule_PFm_R; 31.0% GM_Inferior_parietal_lobule_Pga_R,Brodmann_area_40
35.0,-34.5,21.5,39.5,0.007585970684885979,144.0,Frontal_Mid_2_L,Left-Cerebral-White-Matter,34.0% Left_Middle_Frontal_Gyrus,0% no_label,Background
36.0,-48.5,-66.5,39.5,0.006366056855767965,144.0,Angular_L,ctx_lh_G_pariet_inf-Angular,86.0% Left_Lateral_Occipital_Cortex_superior_division,60.0% GM_Inferior_parietal_lobule_PGp_L,Brodmann_area_39
37.0,-26.5,63.5,5.5,0.00879910308867693,136.0,Frontal_Sup_2_L,ctx_lh_S_front_middle,82.0% Left_Frontal_Pole,0% no_label,Background
38.0,-34.5,-72.5,43.5,0.006765193305909634,136.0,Parietal_Inf_L,Left-Cerebral-White-Matter,65.0% Left_Lateral_Occipital_Cortex_superior_division,52.0% GM_Inferior_parietal_lobule_PGp_L; 38.0% GM_Inferior_parietal_lobule_Pga_L,Brodmann_area_7
39.0,55.5,33.5,3.5,0.008383027277886868,136.0,Frontal_Inf_Tri_R,ctx_rh_G_front_inf-Triangul,51.0% Right_Inferior_Frontal_Gyrus_pars_triangularis; 28.0% Right_Frontal_Pole,49.0% GM_Broca's_area_BA45_R,Background
40.0,7.5,-66.5,47.5,0.008143048733472824,136.0,Precuneus_R,Right-Cerebral-White-Matter,45.0% Right_Precuneous_Cortex,40.0% GM_Superior_parietal_lobule_7A_R; 33.0% GM_Superior_parietal_lobule_7P_R,Background
41.0,-56.5,9.5,13.5,0.007653622888028622,128.0,Frontal_Inf_Oper_L,ctx_lh_G_and_S_subcentral,46.0% Left_Inferior_Frontal_Gyrus_pars_opercularis; 40.0% Left_Precentral_Gyrus,50.0% GM_Broca's_area_BA44_L,Background
42.0,59.5,-64.5,-2.5,0.006894867867231369,128.0,Temporal_Mid_R,Unknown,43.0% Right_Lateral_Occipital_Cortex_inferior_division,0% no_label,Background
43.0,51.5,-52.5,-4.5,0.008214359171688557,128.0,Temporal_Inf_R,Right-Cerebral-White-Matter,30.0% Right_Middle_Temporal_Gyrus_temporooccipital_part,0% no_label,Background
44.0,47.5,17.5,-32.5,0.00746497604995966,128.0,Temporal_Pole_Mid_R,ctx_rh_Pole_temporal,76.0% Right_Temporal_Pole,0% no_label,Background
45.0,-16.5,-30.5,7.5,0.007195826154202223,120.0,Thalamus_L,Left-Thalamus-Proper,84.0% Left_Thalamus,0% no_label,Pulvinar
46.0,31.5,-48.5,43.5,0.0066228765062987804,120.0,Parietal_Inf_R,Unknown,33.0% Right_Superior_Parietal_Lobule,48.0% GM_Anterior_intra-parietal_sulcus_hIP3_R,Background
47.0,51.5,-64.5,31.5,0.007211014628410339,120.0,Angular_R,ctx_rh_G_occipital_middle,81.0% Right_Lateral_Occipital_Cortex_superior_division,89.0% GM_Inferior_parietal_lobule_PGp_R; 30.0% GM_Inferior_parietal_lobule_Pga_R,Background
48.0,-38.5,-2.5,59.5,0.006937017198652029,120.0,Precentral_L,ctx_lh_G_precentral,47.0% Left_Middle_Frontal_Gyrus; 32.0% Left_Precentral_Gyrus,30.0% GM_Premotor_cortex_BA6_L,Background
49.0,-42.5,53.5,17.5,0.007418007589876652,120.0,Frontal_Mid_2_L,Unknown,35.0% Left_Frontal_Pole,0% no_label,Brodmann_area_10
