cluster_id,peak_x,peak_y,peak_z,cluster_mean,volume_mm,aal,destrieux,harvard_oxford,juelich,talairach_ba
1.0,-54.5,-18.5,3.5,0.009278711830887696,27496.0,36.78% Temporal_Sup_L; 27.35% Temporal_Mid_L,47.86% Unknown,,36.81% no_label,59.35% Background
2.0,59.5,-8.5,3.5,0.009715245500599004,19688.0,56.68% Temporal_Sup_R,46.28% Unknown,,40.23% no_label,58.03% Background
3.0,-2.5,3.5,65.5,0.007063796412527063,3824.0,70.29% Supp_Motor_Area_L; 28.87% Supp_Motor_Area_R,38.70% ctx_lh_G_front_sup; 38.70% Unknown,52.93% Left_Juxtapositional_Lobule_Cortex_(formerly_Supplementary_Motor_Cortex),70.29% GM_Premotor_cortex_BA6_L; 28.03% GM_Premotor_cortex_BA6_R,65.06% Background; 34.94% Brodmann_area_6
4.0,-58.5,-4.5,45.5,0.010015817935672704,3560.0,53.71% Postcentral_L,47.87% Unknown; 25.39% ctx_lh_G_precentral,72.81% Left_Precentral_Gyrus,29.44% GM_Premotor_cortex_BA6_L; 27.64% no_label,61.80% Background
5.0,55.5,-4.5,43.5,0.008194778975425178,3384.0,69.03% Precentral_R,43.03% Unknown; 34.99% ctx_rh_G_precentral,78.01% Right_Precentral_Gyrus,68.79% GM_Premotor_cortex_BA6_R,69.03% Background
6.0,-22.5,-68.5,51.5,0.006278697152932485,720.0,73.33% Parietal_Sup_L,66.67% Unknown,100.00% Left_Lateral_Occipital_Cortex_superior_division,35.56% GM_Superior_parietal_lobule_7A_L,55.56% Background; 38.89% Brodmann_area_7
7.0,39.5,51.5,-8.5,0.006252211570972577,640.0,76.25% Frontal_Mid_2_R,57.50% ctx_rh_G_orbital; 27.50% Unknown,100.00% Right_Frontal_Pole,100.00% no_label,61.25% Background; 31.25% Brodmann_area_10
8.0,-62.5,-2.5,21.5,0.006511830957606435,528.0,56.06% Precentral_L; 40.91% Postcentral_L,42.42% Unknown; 33.33% ctx_lh_G_precentral,92.42% Left_Precentral_Gyrus,48.48% GM_Primary_somatosensory_cortex_BA3b_L; 39.39% GM_Premotor_cortex_BA6_L,63.64% Background; 34.85% Brodmann_area_6
9.0,-18.5,63.5,17.5,0.006471065030891007,472.0,94.92% Frontal_Sup_2_L,42.37% ctx_lh_G_front_middle; 25.42% Unknown,100.00% Left_Frontal_Pole,100.00% no_label,74.58% Brodmann_area_10; 25.42% Background
10.0,31.5,53.5,15.5,0.006287498865276575,424.0,94.34% Frontal_Sup_2_R,43.40% ctx_rh_G_front_middle,100.00% Right_Frontal_Pole,100.00% no_label,64.15% Brodmann_area_10; 35.85% Background
