cluster_id,peak_x,peak_y,peak_z,cluster_mean,volume_mm,aal,destrieux,harvard_oxford,juelich,talairach_ba
1.0,-58.5,-16.5,5.5,0.009141587965328851,26048.0,38.73% Temporal_Sup_L,49.88% Unknown,,32.22% no_label,57.99% Background
2.0,57.5,-10.5,3.5,0.00987825416992386,21736.0,55.72% Temporal_Sup_R,45.01% Unknown,,39.05% no_label,57.82% Background
3.0,-4.5,5.5,65.5,0.0068488047418246226,4472.0,69.41% Supp_Motor_Area_L; 28.98% Supp_Motor_Area_R,37.92% Unknown; 37.03% ctx_lh_G_front_sup,51.16% Left_Juxtapositional_Lobule_Cortex_(formerly_Supplementary_Motor_Cortex),70.13% GM_Premotor_cortex_BA6_L; 28.44% GM_Premotor_cortex_BA6_R,66.73% Background; 33.27% Brodmann_area_6
4.0,-56.5,-8.5,49.5,0.009977945388054903,3448.0,53.83% Postcentral_L; 26.68% no_label,51.51% Unknown,71.46% Left_Precentral_Gyrus,32.71% no_label; 27.38% GM_Primary_somatosensory_cortex_BA1_L,65.20% Background
5.0,55.5,-4.5,43.5,0.008534950651548785,3256.0,68.06% Precentral_R,46.68% Unknown; 29.98% ctx_rh_G_precentral,86.49% Right_Precentral_Gyrus,70.52% GM_Premotor_cortex_BA6_R,66.34% Background; 26.54% Brodmann_area_6
6.0,-50.5,-46.5,11.5,0.006108717643655837,1120.0,87.14% Temporal_Mid_L,42.14% Unknown; 25.71% ctx_lh_S_temporal_sup,51.43% Left_Angular_Gyrus,39.29% no_label,67.86% Background
7.0,39.5,61.5,-6.5,0.00610634026610676,680.0,75.29% Frontal_Mid_2_R,48.24% ctx_rh_G_orbital; 30.59% Unknown,100.00% Right_Frontal_Pole,100.00% no_label,60.00% Background; 40.00% Brodmann_area_10
8.0,-60.5,-2.5,21.5,0.006949404935137584,520.0,58.46% Postcentral_L; 41.54% Precentral_L,41.54% Unknown; 26.15% ctx_lh_G_precentral,87.69% Left_Precentral_Gyrus,64.62% GM_Primary_somatosensory_cortex_BA3b_L,69.23% Background
9.0,-0.5,27.5,53.5,0.005964068549305752,432.0,44.44% Supp_Motor_Area_L; 40.74% Frontal_Sup_Medial_L,55.56% Unknown; 35.19% ctx_lh_G_front_sup,50.00% Left_Superior_Frontal_Gyrus; 25.93% Right_Superior_Frontal_Gyrus,57.41% GM_Premotor_cortex_BA6_L; 29.63% GM_Premotor_cortex_BA6_R,64.81% Background; 29.63% Brodmann_area_8
10.0,7.5,-40.5,45.5,0.005947878089500591,384.0,77.08% Cingulate_Mid_R,58.33% Unknown,68.75% Right_Precuneous_Cortex; 27.08% Right_Cingulate_Gyrus_posterior_division,62.50% GM_Superior_parietal_lobule_5M_R,50.00% Background; 37.50% Brodmann_area_5
