cluster_id,peak_x,peak_y,peak_z,peak_value,volume_mm,aal,destrieux,harvard_oxford,juelich,talairach_ba
1.0,-56.5,-16.5,3.5,0.03679085895419121,25928.0,Temporal_Sup_L,ctx_lh_S_temporal_transverse,39.0% Left_Planum_Temporale,0% no_label,Background
2.0,57.5,-10.5,3.5,0.04812711104750633,20384.0,Temporal_Sup_R,ctx_rh_G_temp_sup-G_T_transv,35.0% Right_Planum_Temporale,33.0% GM_Primary_auditory_cortex_TE1.0_R,Background
3.0,-4.5,3.5,65.5,0.012093407101929188,3544.0,Supp_Motor_Area_L,ctx_lh_G_front_sup,67.0% Left_Juxtapositional_Lobule_Cortex_(formerly_Supplementary_Motor_Cortex),76.0% GM_Premotor_cortex_BA6_L,Brodmann_area_6
4.0,55.5,-4.5,43.5,0.018616516143083572,3352.0,Precentral_R,ctx_rh_G_precentral,61.0% Right_Precentral_Gyrus,68.0% GM_Premotor_cortex_BA6_R,Brodmann_area_6
5.0,-56.5,-8.5,47.5,0.02558710053563118,2968.0,Postcentral_L,Unknown,52.0% Left_Precentral_Gyrus,0% no_label,Background
6.0,33.5,47.5,31.5,0.007485215552151203,600.0,Frontal_Mid_2_R,ctx_rh_S_front_middle,81.0% Right_Frontal_Pole,0% no_label,Brodmann_area_9
7.0,39.5,59.5,-8.5,0.009406310506165028,552.0,Frontal_Mid_2_R,Unknown,64.0% Right_Frontal_Pole,0% no_label,Brodmann_area_10
8.0,-18.5,63.5,17.5,0.011328405700623989,520.0,Frontal_Sup_2_L,Unknown,82.0% Left_Frontal_Pole,0% no_label,Brodmann_area_10
9.0,55.5,-52.5,-2.5,0.008026150055229664,464.0,Temporal_Mid_R,Right-Cerebral-White-Matter,48.0% Right_Middle_Temporal_Gyrus_temporooccipital_part,0% no_label,Background
10.0,-54.5,19.5,13.5,0.010163994506001472,448.0,Frontal_Inf_Tri_L,ctx_lh_G_front_inf-Opercular,65.0% Left_Inferior_Frontal_Gyrus_pars_opercularis,60.0% GM_Broca's_area_BA44_L; 43.0% GM_Broca's_area_BA45_L,Brodmann_area_45
11.0,-18.5,-66.5,47.5,0.010368798859417439,392.0,Parietal_Sup_L,Unknown,49.0% Left_Lateral_Occipital_Cortex_superior_division,0% no_label,Background
12.0,31.5,-64.5,45.5,0.009402395226061344,352.0,Angular_R,Right-Cerebral-White-Matter,75.0% Right_Lateral_Occipital_Cortex_superior_division,0% no_label,Background
13.0,51.5,-56.5,35.5,0.00995354913175106,344.0,Angular_R,ctx_rh_G_pariet_inf-Angular,55.0% Right_Angular_Gyrus; 27.0% Right_Lateral_Occipital_Cortex_superior_division,70.0% GM_Inferior_parietal_lobule_Pga_R,Background
14.0,-52.5,13.5,31.5,0.00826235581189394,344.0,Frontal_Inf_Oper_L,Unknown,27.0% Left_Middle_Frontal_Gyrus,60.0% GM_Broca's_area_BA44_L,Brodmann_area_9
